2026-04-06 17:36:58 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=237
2026-04-06 17:36:58 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:36:59 | INFO     | [renderer] Routing | chart_type=boxplot | rows=237 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:36:59 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=237
2026-04-06 17:36:59 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:36:59 | INFO     | [renderer] Routing | chart_type=line | rows=237 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:37:00 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=237
2026-04-06 17:37:00 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:37:28 | INFO     | [renderer] Routing | chart_type=line | rows=237 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:37:29 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=237
2026-04-06 17:37:29 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:37:30 | INFO     | [renderer] Routing | chart_type=line | rows=237 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:37:30 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=237
2026-04-06 17:37:30 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:37:47 | INFO     | [renderer] Routing | chart_type=line | rows=237 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:37:48 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=237
2026-04-06 17:37:48 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:38:38 | INFO     | [renderer] Routing | chart_type=line | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:38:38 | INFO     | [line] Rendered | x=Month | y=Branch | hue=Region | rows=1
2026-04-06 17:38:38 | INFO     | [renderer] OK | chart_type=line
2026-04-06 17:38:48 | INFO     | [renderer] Routing | chart_type=line | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
